"sec"	µA	"mV"
1.01	0	23.9817848205566
2.022	0	-73.5460586547852
3.033	0	-53.224422454834
4.044	0	-43.0067520141602
5.055	0	-85.6704254150391
6.067	0	-21.1981182098389
7.079	0	-97.7181701660156
8.09	0	-188.764617919922
9.102	0	-141.296875
10.113	0	1652.67297363281
11.124	0	626.229064941406
12.135	0	281.031127929688
13.147	0	140.954284667969
14.158	0	-48.6873016357422
15.169	0	-135.272766113281
16.181	0	32.7890777587891
17.193	0	-13.3058614730835
18.205	0	-98.213996887207
19.215	0	-67.4458084106445
20.227	0	-147.473251342773
21.238	0	-384.163391113281
22.25	0	-273.596130371094
23.261	0	205.006896972656
24.272	0	2792.46728515625
25.284	0	2262.39331054688
26.295	0	1649.43200683594
27.306	0	582.841125488281
28.317	0	616.850280761719
29.329	0	597.1005859375
30.34	0	325.486785888672
31.352	0	-2914.66235351563
32.363	0	-2914.5478515625
33.374	0	-2915.00537109375
34.386	0	-2570.11254882813
35.398	0	-1892.908203125
36.41	0	-2914.66235351563
37.42	0	-1602.45983886719
38.432	0	-2914.62426757813
39.443	0	-2568.89233398438
40.455	0	-1572.56860351563
41.466	0	-2265.13793945313
42.477	0	-1835.33703613281
43.489	0	-1441.90881347656
44.5	0	-1273.99951171875
45.512	0	-1117.26098632813
46.523	0	-845.304077148438
47.535	0	-563.510681152344
48.545	0	-706.104248046875
49.557	0	-516.0048828125
50.569	0	-537.508483886719
51.58	0	-556.381225585938
52.592	0	-377.872314453125
53.603	0	-323.503967285156
54.615	0	-378.139251708984
55.626	0	-213.165618896484
56.638	0	-227.386505126953
57.648	0	-337.648742675781
58.66	0	-368.264678955078
59.672	0	-477.573303222656
60.682	0	-385.040344238281
61.693	0	-194.254837036133
62.704	0	-216.673004150391
63.717	0	-1067.505859375
64.726	0	1491.16857910156
65.739	0	710.336364746094
66.749	0	414.550415039063
67.761	0	304.631744384766
68.773	0	357.665374755859
69.784	0	469.681549072266
70.796	0	14.1833209991455
71.807	0	143.089370727539
72.819	0	72.2498779296875
73.829	0	-116.972015380859
74.842	0	-68.3227844238281
75.853	0	-93.1429824829102
76.865	0	-189.984664916992
77.875	0	-225.709182739258
78.887	0	-140.000701904297
79.899	0	-77.9304275512695
80.909	0	-64.5860137939453
81.922	0	-284.157379150391
82.933	0	-159.292617797852
83.943	0	-135.959411621094
84.955	0	61.9560737609863
85.967	0	-117.963676452637
86.977	0	-294.641998291016
87.988	0	-224.336380004883
89	0	-117.048637390137
90.011	0	-237.718872070313
91.023	0	-163.333908081055
92.034	0	-91.9229354858398
93.046	0	-256.934661865234
94.057	0	-41.9770278930664
95.069	0	-29.2811908721924
96.08	0	-159.521499633789
97.091	0	-108.126655578613
98.103	0	-32.4074478149414
99.114	0	-14.9456081390381
100.126	0	47.6966209411621
101.137	0	-12.8105211257935
102.149	0	-152.925415039063
103.16	0	-91.2748413085938
104.171	0	-40.5285873413086
105.182	0	-124.406997680664
106.193	0	-115.256629943848
107.205	0	-36.8298835754395
108.216	0	-55.5122604370117
109.228	0	-34.8475456237793
110.239	0	399.070922851563
111.251	0	642.204345703125
112.262	0	277.218719482422
113.274	0	524.24072265625
114.285	0	367.082672119141
115.296	0	241.722579956055
116.308	0	190.175491333008
117.319	0	193.187545776367
118.331	0	49.4505653381348
119.342	0	22.8759307861328
120.353	0	117.048637390137
121.364	0	84.1834259033203
122.376	0	-490.612701416016
123.386	0	-793.909729003906
124.397	0	-399.185119628906
125.409	0	-254.304229736328
126.42	0	-56.0075988769531
127.432	0	13.6494274139404
128.443	0	-95.5450134277344
129.455	0	-217.473846435547
130.466	0	131.384216308594
131.477	0	86.357063293457
132.489	0	51.6617813110352
133.5	0	52.9198989868164
134.512	0	-13.8397550582886
135.523	0	-43.4259605407715
136.535	0	36.4111633300781
137.546	0	6.17686748504639
138.558	0	-88.8347473144531
139.569	0	-62.7559394836426
140.581	0	0.495828181505203
141.592	0	-34.885612487793
142.602	0	-72.3260040283203
143.614	0	-51.9282417297363
144.625	0	-52.0424385070801
145.637	0	-66.6069030761719
146.648	0	-14.6025304794312
147.66	0	41.7867012023926
148.671	0	-80.21826171875
149.683	0	-122.653053283691
150.694	0	16.585355758667
151.705	0	1.48699653148651
152.718	0	-6.71027326583862
153.729	0	-139.542938232422
154.741	0	-252.664474487305
155.752	0	-87.4238815307617
156.763	0	-117.582038879395
157.775	0	-10.6754341125488
158.785	0	-25.0110187530518
159.797	0	-38.8888397216797
160.808	0	-63.0609512329102
161.82	0	-18.9869003295898
162.831	0	-1.56312763690948
163.843	0	-105.496231079102
164.853	0	-126.504020690918
165.866	0	5.45215797424316
166.876	0	-3.88854217529297
167.889	0	-133.214294433594
168.9	0	-120.670234680176
169.91	0	-10.6373691558838
170.922	0	-24.439058303833
171.933	0	-91.5037231445313
172.945	0	-80.4852142333984
173.956	0	-36.4868049621582
174.968	0	-43.3117637634277
175.979	0	-37.8976707458496
176.991	0	-22.7612457275391
178.002	0	-53.7202491760254
179.013	0	-74.4991607666016
180.025	0	4.95681762695313
181.035	0	20.0546875
182.047	0	-109.766403198242
183.058	0	-112.473449707031
184.07	0	22.227840423584
185.08	0	9.07424163818359
186.091	0	-87.6908264160156
187.103	0	-71.2582168579102
188.114	0	-18.0337982177734
189.126	0	-26.6883430480957
190.137	0	-49.9839706420898
191.149	0	-39.7277450561523
192.161	0	-20.0542011260986
193.173	0	-71.6779174804688
194.183	0	4.11791181564331
195.194	0	25.2398986816406
196.206	0	30.50124168396
197.217	0	-103.589538574219
198.229	0	-87.7674407958984
199.24	0	3.35513663291931
200.252	0	-10.0654096603394
201.264	0	-53.7583160400391
202.274	0	-43.6167755126953
203.285	0	-31.3396587371826
204.296	0	-50.8990058898926
205.308	0	-5.14714527130127
206.319	0	20.1693725585938
207.332	0	-98.9001541137695
208.343	0	-102.369483947754
209.355	0	31.0732002258301
210.366	0	14.7933464050293
211.378	0	-67.4838714599609
212.388	0	-52.8052139282227
213.401	0	-15.9367771148682
214.412	0	-26.9552898406982
215.423	0	-22.7993125915527
216.435	0	5.37602663040161
217.446	0	-78.5785217285156
218.458	0	-97.9470520019531
219.468	0	39.5754814147949
220.481	0	25.0110187530518
221.49	0	-70.9151458740234
222.501	0	-49.0689315795898
223.513	0	-23.1043243408203
224.524	0	-25.6971740722656
225.537	0	-18.2241249084473
226.548	0	7.93032264709473
227.559	0	-82.5822296142578
228.571	0	-96.7269973754883
229.582	0	42.2063980102539
230.593	0	25.5068454742432
231.604	0	-70.6862640380859
232.617	0	-53.4152374267578
233.628	0	-40.2997055053711
234.64	0	-20.8169746398926
235.65	0	-25.4682922363281
236.663	0	-3.31707096099854
237.673	0	22.3805904388428
238.686	0	-90.8556365966797
239.696	0	-96.6128005981445
240.706	0	37.135383605957
241.718	0	19.1777172088623
242.729	0	-62.8706245422363
243.74	0	-47.1241722106934
244.751	0	-10.9423809051514
245.763	0	-22.1131553649902
246.774	0	-19.8258075714111
247.786	0	2.93592739105225
248.797	0	-62.7559394836426
249.809	0	-86.0515670776367
250.82	0	45.5996017456055
251.831	0	43.7314605712891
252.843	0	-80.1035766601563
253.854	0	-60.8497314453125
254.866	0	11.5143404006958
255.877	0	-1.02923393249512
256.889	0	-29.8145980834961
257.9	0	-15.5175676345825
258.911	0	-34.428337097168
259.923	0	-60.8497314453125
260.933	0	39.7282333374023
